date_start|date_end|fee|city|country|weather|travel_route|id_attraction
2020-11-11 21:09:21|2021-09-04 18:35:19|14118|Cambridge|United Kingdom (Great Britain)|massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor|nec,|1
2020-10-16 04:41:33|2021-01-03 05:43:45|8838|Brentwood|Myanmar|Proin vel nisl. Quisque fringilla euismod enim.|eu, eleifend|2
2020-10-03 05:06:56|2022-01-25 04:49:59|13007|Istmina|South Sudan|libero mauris,|nunc sed libero. Proin sed turpis nec mauris|3
2020-11-26 20:09:40|2021-02-09 08:56:11|6032|Saint-Pierre|United States|massa. Quisque porttitor eros nec|id sapien. Cras|4
2020-08-21 15:33:21|2021-10-31 21:17:00|16971|Ethe|Brazil|neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris|Aliquam erat volutpat. Nulla dignissim.|5
2020-08-26 17:02:25|2020-11-30 15:10:39|11241|Heredia|Antarctica|ornare. Fusce mollis. Duis sit amet diam eu|dis parturient montes, nascetur ridiculus mus. Proin vel nisl. Quisque|6
2021-11-30 07:04:15|2021-05-23 18:54:44|16753|San Martino in Badia/St. Martin in Thurn|Cayman Islands|adipiscing lacus. Ut nec urna et arcu imperdiet|aliquet libero. Integer in magna. Phasellus|7
2021-06-28 22:40:28|2020-05-14 17:20:19|9740|Garzón|Brazil|urna, nec luctus felis purus|Donec nibh. Quisque nonummy ipsum non|8
2020-09-08 08:53:42|2022-01-14 15:07:36|10791|Benestare|Lebanon|dui, nec tempus mauris erat eget|mollis lectus pede et risus. Quisque libero lacus,|9
2020-08-17 15:47:13|2021-11-26 01:38:45|14804|Freital|Papua New Guinea|neque non quam. Pellentesque habitant morbi|ut ipsum ac|10
2021-12-30 09:22:41|2022-01-02 18:54:31|17517|Picton|Kuwait|pretium neque. Morbi quis urna. Nunc quis|magnis dis|11
2021-06-30 11:03:44|2021-08-07 18:21:18|17859|Quinchao|Faroe Islands|enim non nisi. Aenean eget|ut, pharetra sed, hendrerit a, arcu. Sed et|12
2022-03-16 21:05:59|2020-09-19 08:46:24|8401|Kharagpur|Ireland|augue eu tellus. Phasellus elit pede, malesuada|dolor elit, pellentesque a, facilisis|13
2021-07-24 23:26:12|2021-03-31 18:16:12|14213|La Florida|New Caledonia|ut, pharetra sed, hendrerit a, arcu. Sed et|elit. Etiam laoreet, libero et tristique pellentesque, tellus sem|14
2021-10-09 10:10:41|2020-08-13 00:09:33|19299|Riparbella|Mauritius|malesuada fames ac turpis egestas. Fusce aliquet|metus facilisis lorem tristique aliquet.|15
2022-01-15 05:12:35|2020-05-10 07:25:19|6258|Stoke-on-Trent|El Salvador|tellus|Nullam ut nisi a odio semper cursus.|16
